area_numbe,comarea_,shape_area,perimeter,community,comarea_id,shape_len,area_num_1,area,sq_miles
63,0.0000000000000000000000000000000,61284896.1132000014185905456542968750000,0.0000000000000000000000000000000,GAGE PARK,0.0000000000000000000000000000000,32294.1959107000002404674887657165527,63,0.0000000000000000000000000000000,2.198293
64,0.0000000000000000000000000000000,71145192.3826999962329864501953125000000,0.0000000000000000000000000000000,CLEARING,0.0000000000000000000000000000000,45363.2861749000003328546881675720215,64,0.0000000000000000000000000000000,2.551983
65,0.0000000000000000000000000000000,82315301.6831000000238418579101562500000,0.0000000000000000000000000000000,WEST LAWN,0.0000000000000000000000000000000,41934.4901308999978937208652496337891,65,0.0000000000000000000000000000000,2.952655
66,0.0000000000000000000000000000000,98279465.1150999963283538818359375000000,0.0000000000000000000000000000000,CHICAGO LAWN,0.0000000000000000000000000000000,40073.0998382000034325756132602691650,66,0.0000000000000000000000000000000,3.525291
67,0.0000000000000000000000000000000,87947691.9477999955415725708007812500000,0.0000000000000000000000000000000,WEST ENGLEWOOD,0.0000000000000000000000000000000,40195.2033069000026443973183631896973,67,0.0000000000000000000000000000000,3.154689
68,0.0000000000000000000000000000000,85652323.0825999975204467773437500000000,0.0000000000000000000000000000000,ENGLEWOOD,0.0000000000000000000000000000000,42316.8442972999982885085046291351318,68,0.0000000000000000000000000000000,3.072354
69,0.0000000000000000000000000000000,98853167.7092999964952468872070312500000,0.0000000000000000000000000000000,GREATER GRAND CROSSING,0.0000000000000000000000000000000,54645.3302995999983977526426315307617,69,0.0000000000000000000000000000000,3.545870
7,0.0000000000000000000000000000000,88316400.4728000015020370483398437500000,0.0000000000000000000000000000000,LINCOLN PARK,0.0000000000000000000000000000000,49478.4277713999981642700731754302979,7,0.0000000000000000000000000000000,3.167915
70,0.0000000000000000000000000000000,135460337.2080000042915344238281250000000,0.0000000000000000000000000000000,ASHBURN,0.0000000000000000000000000000000,54818.1546317000029375776648521423340,70,0.0000000000000000000000000000000,4.858971
71,0.0000000000000000000000000000000,105065353.6019999980926513671875000000000,0.0000000000000000000000000000000,AUBURN GRESHAM,0.0000000000000000000000000000000,46757.7217161000007763504981994628906,71,0.0000000000000000000000000000000,3.768701
72,0.0000000000000000000000000000000,88779363.9384000003337860107421875000000,0.0000000000000000000000000000000,BEVERLY,0.0000000000000000000000000000000,44591.4851008999976329505443572998047,72,0.0000000000000000000000000000000,3.184522
73,0.0000000000000000000000000000000,79635752.8769000023603439331054687500000,0.0000000000000000000000000000000,WASHINGTON HEIGHTS,0.0000000000000000000000000000000,42222.5981630000023869797587394714355,73,0.0000000000000000000000000000000,2.856540
74,0.0000000000000000000000000000000,75584290.0208999961614608764648437500000,0.0000000000000000000000000000000,MOUNT GREENWOOD,0.0000000000000000000000000000000,48665.1305391999994753859937191009521,74,0.0000000000000000000000000000000,2.711213
75,0.0000000000000000000000000000000,91877340.6987999975681304931640625000000,0.0000000000000000000000000000000,MORGAN PARK,0.0000000000000000000000000000000,46396.4193620000005466863512992858887,75,0.0000000000000000000000000000000,3.295646
76,0.0000000000000000000000000000000,371835607.6869999766349792480468750000000,0.0000000000000000000000000000000,OHARE,0.0000000000000000000000000000000,173625.9846599999873433262109756469727,76,0.0000000000000000000000000000000,13.337768
77,0.0000000000000000000000000000000,48449990.8396999984979629516601562500000,0.0000000000000000000000000000000,EDGEWATER,0.0000000000000000000000000000000,31004.8309455999988131225109100341797,77,0.0000000000000000000000000000000,1.737904
9,0.0000000000000000000000000000000,31636313.7864000014960765838623046875000,0.0000000000000000000000000000000,EDISON PARK,0.0000000000000000000000000000000,25937.2268409999996947590261697769165,9,0.0000000000000000000000000000000,1.134797
